TK,Plataforma,ID_local,NETID,Lora_Channel,Strings
1,1,1,1,50,CT1_CB1_ST01;CT1_CB2_ST01
2,1,2,2,50,CT1_CB1_ST02;CT1_CB2_ST02
3,1,3,3,50,CT1_CB1_ST03;CT1_CB2_ST03
4,1,4,4,50,CT1_CB1_ST04;CT1_CB2_ST04
5,1,5,5,50,CT1_CB1_ST05;CT1_CB2_ST05
6,1,6,6,50,CT1_CB1_ST06;CT1_CB2_ST06
7,1,7,7,50,CT1_CB1_ST07;CT1_CB2_ST07
8,1,8,8,50,CT1_CB1_ST08;CT1_CB2_ST08
9,1,9,9,50,CT1_CB1_ST09;CT1_CB2_ST09
10,1,10,10,50,CT1_CB1_ST10;CT1_CB2_ST10
11,1,11,11,50,CT1_CB1_ST11;CT1_CB2_ST11
12,1,12,12,50,CT1_CB1_ST12;CT1_CB2_ST12
13,1,13,13,50,CT1_CB1_ST13;CT1_CB2_ST13
14,1,14,14,50,CT1_CB1_ST14;CT1_CB2_ST14
15,1,15,15,50,CT1_CB1_ST15;CT1_CB2_ST15
16,1,16,16,50,CT1_CB1_ST16;CT1_CB2_ST16
17,1,17,17,50,CT1_CB1_ST17;CT1_CB2_ST17
18,1,18,18,50,CT1_CB1_ST18;CT1_CB2_ST18
19,1,19,19,50,CT1_CB1_ST19;CT1_CB2_ST19
20,1,20,20,50,CT1_CB1_ST20;CT1_CB2_ST20
21,1,21,21,50,CT1_CB1_ST21;CT1_CB2_ST21
22,1,22,22,50,CT1_CB1_ST22;CT1_CB2_ST22
23,1,23,23,50,CT1_CB1_ST23;CT1_CB2_ST23
24,1,24,24,50,CT1_CB1_ST24;CT1_CB2_ST24
25,1,25,25,50,CT1_CB1_ST25;CT1_CB2_ST25
26,1,26,26,50,CT1_CB1_ST26;CT1_CB2_ST26
27,1,27,27,50,CT1_CB1_ST27;CT1_CB2_ST27
28,1,28,28,50,CT1_CB1_ST28;CT1_CB2_ST28
29,1,29,29,50,CT1_CB1_ST29;CT1_CB2_ST29
30,1,30,30,50,CT1_CB1_ST30;CT1_CB2_ST30
31,1,31,31,50,CT1_CB1_ST31;CT1_CB2_ST31
32,1,32,32,50,CT1_CB1_ST32;CT1_CB2_ST32
33,1,33,33,50,CT1_CB1_ST33;CT1_CB2_ST33
34,1,34,34,50,CT1_CB1_ST34;CT1_CB2_ST34
35,1,35,35,50,CT1_CB1_ST35;CT1_CB2_ST35
36,1,36,36,50,CT1_CB1_ST36;CT1_CB2_ST36
37,1,37,37,50,CT1_CB1_ST37;CT1_CB2_ST37
38,1,38,38,50,CT1_CB1_ST38;CT1_CB2_ST38
39,1,39,39,50,CT1_CB1_ST39;CT1_CB2_ST39
40,1,40,40,50,CT1_CB1_ST40;CT1_CB2_ST40
41,1,41,41,50,CT1_CB1_ST41;CT1_CB2_ST41
42,1,42,42,50,CT1_CB1_ST42;CT1_CB2_ST42
43,1,43,43,50,CT1_CB1_ST43;CT1_CB2_ST43
44,1,44,44,50,CT1_CB1_ST44;CT1_CB2_ST44
45,1,45,45,50,CT1_CB1_ST45;CT1_CB2_ST45
46,1,46,46,50,CT1_CB1_ST46;CT1_CB2_ST46
47,1,47,47,50,CT1_CB1_ST47;CT1_CB2_ST47
48,1,48,48,50,CT1_CB1_ST48;CT1_CB2_ST48
49,1,49,49,50,CT1_CB1_ST49;CT1_CB2_ST49
50,1,50,50,50,CT1_CB1_ST50;CT1_CB2_ST50
51,1,51,51,50,CT1_CB1_ST51;CT1_CB2_ST51
52,1,52,52,50,CT1_CB1_ST52;CT1_CB2_ST52
53,1,53,53,50,CT1_CB1_ST53;CT1_CB2_ST53
54,1,54,54,50,CT1_CB1_ST54;CT1_CB2_ST54
55,1,55,55,50,CT1_CB1_ST55;CT1_CB2_ST55
56,1,56,56,50,CT1_CB1_ST56;CT1_CB2_ST56
57,1,57,57,50,CT1_CB1_ST57;CT1_CB2_ST57
58,1,58,58,50,CT1_CB1_ST58;CT1_CB2_ST58
59,1,59,59,50,CT1_CB1_ST59;CT1_CB2_ST59
60,1,60,60,50,CT1_CB1_ST60;CT1_CB2_ST60
61,1,61,61,50,CT1_CB1_ST61;CT1_CB2_ST61
62,1,62,62,50,CT1_CB1_ST62;CT1_CB2_ST62
63,1,63,63,50,CT1_CB1_ST63;CT1_CB2_ST63
64,1,64,64,50,CT1_CB1_ST64;CT1_CB2_ST64
65,1,65,65,50,CT1_CB1_ST65;CT1_CB2_ST65
66,1,66,66,50,CT1_CB1_ST66;CT1_CB2_ST66
67,1,67,67,50,CT1_CB1_ST67;CT1_CB2_ST67
68,1,68,68,50,CT1_CB1_ST68;CT1_CB2_ST68
69,1,69,69,50,CT1_CB1_ST69;CT1_CB2_ST69
70,1,70,70,50,CT1_CB1_ST70;CT1_CB2_ST70
71,2,1,1,55,CT2_CB1_ST01
72,2,2,2,55,CT2_CB1_ST02
73,2,3,3,55,CT2_CB1_ST03
74,2,4,4,55,CT2_CB1_ST04
75,2,5,5,55,CT2_CB1_ST05
76,2,6,6,55,CT2_CB1_ST06
77,2,7,7,55,CT2_CB1_ST07
78,2,8,8,55,CT2_CB1_ST08
79,2,9,9,55,CT2_CB1_ST09
80,2,10,10,55,CT2_CB1_ST10
81,2,11,11,55,CT2_CB1_ST11
82,2,12,12,55,CT2_CB1_ST12
83,2,13,13,55,CT2_CB1_ST13
84,2,14,14,55,CT2_CB1_ST14
85,2,15,15,55,CT2_CB1_ST15
86,2,16,16,55,CT2_CB1_ST16
87,2,17,17,55,CT2_CB1_ST17
88,2,18,18,55,CT2_CB1_ST18
89,2,19,19,55,CT2_CB1_ST19
90,2,20,20,55,CT2_CB1_ST20
91,2,21,21,55,CT2_CB1_ST21
92,2,22,22,55,CT2_CB1_ST22
93,2,23,23,55,CT2_CB1_ST23
94,2,24,24,55,CT2_CB1_ST24
95,2,25,25,55,CT2_CB1_ST25
96,2,26,26,55,CT2_CB1_ST26
97,2,27,27,55,CT2_CB1_ST27
98,2,28,28,55,CT2_CB1_ST28
99,2,29,29,55,CT2_CB1_ST29
100,2,30,30,55,CT2_CB1_ST30
101,2,31,31,55,CT2_CB1_ST31
102,2,32,32,55,CT2_CB1_ST32
103,2,33,33,55,CT2_CB1_ST33
104,2,34,34,55,CT2_CB1_ST34
105,2,35,35,55,CT2_CB1_ST35
106,2,36,36,55,CT2_CB1_ST36
107,2,37,37,55,CT2_CB1_ST37
108,2,38,38,55,CT2_CB1_ST38
109,2,39,39,55,CT2_CB1_ST39
110,2,40,40,55,CT2_CB1_ST40
111,2,41,41,55,CT2_CB1_ST41
112,2,42,42,55,CT2_CB1_ST42
113,2,43,43,55,CT2_CB1_ST43
114,2,44,44,55,CT2_CB1_ST44
115,2,45,45,55,CT2_CB1_ST45
116,2,46,46,55,CT2_CB1_ST46
117,2,47,47,55,CT2_CB1_ST47
118,2,48,48,55,CT2_CB1_ST48
119,2,49,49,55,CT2_CB1_ST49
120,2,50,50,55,CT2_CB1_ST50
121,2,51,51,55,CT2_CB1_ST51
122,2,52,52,55,CT2_CB1_ST52
123,2,53,53,55,CT2_CB1_ST53
124,2,54,54,55,CT2_CB1_ST54
125,2,55,55,55,CT2_CB1_ST55
126,2,56,56,55,CT2_CB1_ST56
127,2,57,57,55,CT2_CB1_ST57
128,2,58,58,55,CT2_CB1_ST58
129,2,59,59,55,CT2_CB1_ST59
130,2,60,60,55,CT2_CB1_ST60
131,2,61,61,55,CT2_CB1_ST61
132,2,62,62,55,CT2_CB1_ST62
133,2,63,63,55,CT2_CB1_ST63
134,2,64,64,55,CT2_CB1_ST64
135,2,65,65,55,CT2_CB1_ST65
136,2,66,66,55,CT2_CB1_ST66
137,2,67,67,55,CT2_CB1_ST67
138,2,68,68,55,CT2_CB1_ST68
139,2,69,69,55,CT2_CB1_ST69
140,2,70,70,55,CT2_CB1_ST70
141,3,1,1,65,CT3_CB1_ST01
142,3,2,2,65,CT3_CB1_ST02
143,3,3,3,65,CT3_CB1_ST03
144,3,4,4,65,CT3_CB1_ST04
145,3,5,5,65,CT3_CB1_ST05
146,3,6,6,65,CT3_CB1_ST06
147,3,7,7,65,CT3_CB1_ST07
148,3,8,8,65,CT3_CB1_ST08
149,3,9,9,65,CT3_CB1_ST09
150,3,10,10,65,CT3_CB1_ST10
151,3,11,11,65,CT3_CB1_ST11
152,3,12,12,65,CT3_CB1_ST12
153,3,13,13,65,CT3_CB1_ST13
154,3,14,14,65,CT3_CB1_ST14
155,3,15,15,65,CT3_CB1_ST15
156,3,16,16,65,CT3_CB1_ST16
157,3,17,17,65,CT3_CB1_ST17
158,3,18,18,65,CT3_CB1_ST18
159,3,19,19,65,CT3_CB1_ST19
160,3,20,20,65,CT3_CB1_ST20
161,3,21,21,65,CT3_CB1_ST21
162,3,22,22,65,CT3_CB1_ST22
163,3,23,23,65,CT3_CB1_ST23
164,3,24,24,65,CT3_CB1_ST24
165,3,25,25,65,CT3_CB1_ST25
166,3,26,26,65,CT3_CB1_ST26
167,3,27,27,65,CT3_CB1_ST27
168,3,28,28,65,CT3_CB1_ST28
169,3,29,29,65,CT3_CB1_ST29
170,3,30,30,65,CT3_CB1_ST30
171,3,31,31,65,CT3_CB1_ST31
172,3,32,32,65,CT3_CB1_ST32
173,3,33,33,65,CT3_CB1_ST33
174,3,34,34,65,CT3_CB1_ST34
175,3,35,35,65,CT3_CB1_ST35
176,3,36,36,65,CT3_CB1_ST36
177,3,37,37,65,CT3_CB1_ST37
178,3,38,38,65,CT3_CB1_ST38
179,3,39,39,65,CT3_CB1_ST39
180,3,40,40,65,CT3_CB1_ST40
181,3,41,41,65,CT3_CB1_ST41
182,3,42,42,65,CT3_CB1_ST42
183,3,43,43,65,CT3_CB1_ST43
184,3,44,44,65,CT3_CB1_ST44
185,3,45,45,65,CT3_CB1_ST45
186,3,46,46,65,CT3_CB1_ST46
187,3,47,47,65,CT3_CB1_ST47
188,3,48,48,65,CT3_CB1_ST48
189,3,49,49,65,CT3_CB1_ST49
190,3,50,50,65,CT3_CB1_ST50
191,3,51,51,65,CT3_CB1_ST51
192,3,52,52,65,CT3_CB1_ST52
193,3,53,53,65,CT3_CB1_ST53
194,3,54,54,65,CT3_CB1_ST54
195,3,55,55,65,CT3_CB1_ST55
196,3,56,56,65,CT3_CB1_ST56
197,3,57,57,65,CT3_CB1_ST57
198,3,58,58,65,CT3_CB1_ST58
199,3,59,59,65,CT3_CB1_ST59
200,3,60,60,65,CT3_CB1_ST60
201,3,61,61,65,CT3_CB1_ST61
202,3,62,62,65,CT3_CB1_ST62
203,3,63,63,65,CT3_CB1_ST63
204,3,64,64,65,CT3_CB1_ST64
205,3,65,65,65,CT3_CB1_ST65
206,3,66,66,65,CT3_CB1_ST66
207,3,67,67,65,CT3_CB1_ST67
208,3,68,68,65,CT3_CB1_ST68
